fight_url,event_url,event_name,event_date,event_location,bout_string,fighter_a,fighter_b,fighter_a_outcome,fighter_b_outcome,winner,loser,is_draw,is_nc,is_excluded,exclusion_reason,weight_class,is_title_fight,method_raw,method_class,method_score_winner,end_round,end_time_seconds,time_format,referee,details_text,source_reference
ufc.com/event/ufc-1::1,https://www.ufc.com/event/ufc-1,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",Gerard Gordeau vs. Teila Tuli,Gerard Gordeau,Teila Tuli,W,L,Gerard Gordeau,Teila Tuli,false,false,false,,Open Weight Bout,false,KO/TKO,KO/TKO,1.0,1,26,,,,https://www.ufc.com/event/ufc-1
ufc.com/event/ufc-1::2,https://www.ufc.com/event/ufc-1,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",Kevin Rosier vs. Zane Frazier,Kevin Rosier,Zane Frazier,W,L,Kevin Rosier,Zane Frazier,false,false,false,,Open Weight Bout,false,KO/TKO,KO/TKO,1.0,1,260,,,,https://www.ufc.com/event/ufc-1
ufc.com/event/ufc-1::3,https://www.ufc.com/event/ufc-1,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",Royce Gracie vs. Art Jimmerson,Royce Gracie,Art Jimmerson,W,L,Royce Gracie,Art Jimmerson,false,false,false,,Open Weight Bout,false,Submission,Submission,1.0,1,138,,,,https://www.ufc.com/event/ufc-1
ufc.com/event/ufc-1::4,https://www.ufc.com/event/ufc-1,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",Ken Shamrock vs. Patrick Smith,Ken Shamrock,Patrick Smith,W,L,Ken Shamrock,Patrick Smith,false,false,false,,Open Weight Bout,false,Submission,Submission,1.0,1,109,,,,https://www.ufc.com/event/ufc-1
ufc.com/event/ufc-1::5,https://www.ufc.com/event/ufc-1,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",Gerard Gordeau vs. Kevin Rosier,Gerard Gordeau,Kevin Rosier,W,L,Gerard Gordeau,Kevin Rosier,false,false,false,,Open Weight Bout,false,KO/TKO,KO/TKO,1.0,1,59,,,,https://www.ufc.com/event/ufc-1
ufc.com/event/ufc-1::6,https://www.ufc.com/event/ufc-1,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",Royce Gracie vs. Ken Shamrock,Royce Gracie,Ken Shamrock,W,L,Royce Gracie,Ken Shamrock,false,false,false,,Open Weight Bout,false,Submission,Submission,1.0,1,57,,,,https://www.ufc.com/event/ufc-1
ufc.com/event/ufc-1::7,https://www.ufc.com/event/ufc-1,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",Jason DeLucia vs. Trent Jenkins,Jason DeLucia,Trent Jenkins,W,L,Jason DeLucia,Trent Jenkins,false,false,false,,Open Weight Bout,false,Submission,Submission,1.0,1,52,,,,https://www.ufc.com/event/ufc-1
ufc.com/event/ufc-1::8,https://www.ufc.com/event/ufc-1,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",Royce Gracie vs. Gerard Gordeau,Royce Gracie,Gerard Gordeau,W,L,Royce Gracie,Gerard Gordeau,false,false,false,,UFC Tournament Title Bout,true,Submission,Submission,1.0,1,104,,,,https://www.ufc.com/event/ufc-1
