red_fighter_name;blue_fighter_name;event_date;red_fighter_total_pts;blue_fighter_total_pts
MUHAMMAD NAIMOV;FELIPE LIMA;22/06/2024;20 19 18;18 19 20
ALEX PEREIRA;JIRI PROCHAZKA;29/06/2024;10 10 10;9 9 9
ROBERT WHITTAKER;IKRAM ALISKEROV;22/06/2024;- - -;- - -
MICHELLE WATERSON-GOMEZ;GILLIAN ROBERTSON;29/06/2024;27 27 26;30 30 30
SERGEI PAVLOVICH;ALEXANDER VOLKOV;22/06/2024;27 28 27;30 29 30
KELVIN GASTELUM;DANIEL RODRIGUEZ;22/06/2024;29 30 30;28 27 27
NASRAT HAQPARAST;JARED GORDON;22/06/2024;29 29 28;28 28 29
XIAO LONG;CHANGHO LEE;22/06/2024;29 28 28;28 29 29
CHARLES JOURDAIN;JEAN SILVA;29/06/2024;9 9 9;10 10 10
RICKY SIMON;VINICIUS OLIVEIRA;29/06/2024;27 28 27;30 29 30
CUB SWANSON;ANDRE FILI;29/06/2024;28 29 28;29 28 29
MICHAEL CHIESA;KEVIN HOLLAND;29/07/2023;- - -;- - -
DUSTIN POIRIER;JUSTIN GAETHJE;29/07/2023;10 10 9;9 9 10
JAN BLACHOWICZ;ALEX PEREIRA;29/07/2023;28 28 29;29 29 28
TONY FERGUSON;KING GREEN;29/07/2023;17 18 19;20 20 19
GABRIEL BONFIM;TREVIN GILES;29/07/2023;- - -;- - -
CJ VERGARA;VINICIUS SALVADOR;29/07/2023;29 29 29;28 28 28
ROMAN KOPYLOV;CLAUDIO RIBEIRO;29/07/2023;9 10 9;10 9 10
JAKE MATTHEWS;DARRIUS FLOWERS;29/07/2023;10 10 10;9 9 9
MATTHEW SEMELSBERGER;UROS MEDIC;29/07/2023;19 19 19;19 19 19
MIRANDA MAVERICK;PRISCILA CACHOEIRA;29/07/2023;20 20 20;18 18 18
DERRICK LEWIS;MARCOS ROGERIO DE LIMA;29/07/2023;- - -;- - -
SEAN BRADY;CHRISTIAN AGUILERA;29/08/2020;10 10 10;9 9 9
POLYANA VIANA;EMILY WHITMIRE;29/08/2020;- - -;- - -
ROBBIE LAWLER;NEIL MAGNY;29/08/2020;27 27 27;30 30 30
JI YEON KIM;ALEXA GRASSO;29/08/2020;27 27 27;30 30 30
ANTHONY SMITH;ALEKSANDAR RAKIC;29/08/2020;26 27 27;30 30 30
RICARDO LAMAS;BILL ALGEO;29/08/2020;29 29 29;27 27 27
MALLORY MARTIN;HANNAH CIFERS;29/08/2020;8 8 8;10 10 10
MAKI PITOLO;IMPA KASANGANAY;29/08/2020;27 27 27;30 30 30
ALEX CACERES;AUSTIN SPRINGER;29/08/2020;- - -;- - -
ALESSIO DI CHIRICO;ZAK CUMMINGS;29/08/2020;28 28 27;29 29 30
JOSH FREMD;TRESEAN GORE;29/10/2022;9 9 10;10 10 ‘9
WALDO CORTES-ACOSTA;JARED VANDERAA;29/10/2022;29 29 30;28 28 27
DUSTIN JACOBY;KHALIL ROUNTREE JR.;29/10/2022;28 28 29;29 29 28
PHIL HAWES;ROMAN DOLIDZE;29/10/2022;- - -;- - -
CODY DURDEN;CARLOS MOTA;29/10/2022;29 ‘30 29;28 27 28
CHASE HOOPER;STEVE GARCIA;29/10/2022;- - -;- - -
ANDREI ARLOVSKI;MARCOS ROGERIO DE LIMA;29/10/2022;- - -;- - -
JOSEPH HOLMES;JUNYONG PARK;29/10/2022;10 9 10;9 10 9
CHRISTIAN RODRIGUEZ;JOSHUA WEEMS;29/10/2022;- - -;- - -
TIM MEANS;MAX GRIFFIN;29/10/2022;28 27 29;29 30 28
CALVIN KATTAR;ARNOLD ALLEN;29/10/2022;9 9 9;10 10 10
NURSULTON RUZIBOEV;SEDRIQUES DUMAS;30/03/2024;- - -;- - -
CHRIS WEIDMAN;BRUNO SILVA;30/03/2024;30 30 30;27 27 27
ERIN BLANCHFIELD;MANON FIOROT;30/03/2024;45 45 45;50 50 50
VICENTE LUQUE;JOAQUIN BUCKLEY;30/03/2024;9 10 9;10 9 10
JULIO ARCE;HERBERT BURNS;30/03/2024;10 9 10;9 10 98
DENNIS BUZUKJA;CONNOR MATTHEWS;30/03/2024;20 20 20;18 18 18
VIRNA JANDIROBA;LOOPY GODINEZ;30/03/2024;29 30 29;28 27 28
NATE LANDWEHR;JAMALL EMMERS;30/03/2024;- - -;- - -
IBO ASLAN;ANTON TURKALJ;30/03/2024;20 20 19;18 18 19
BILL ALGEO;KYLE NELSON;30/03/2024;- - -;- - -
CHIDI NJOKUANI;RHYS MCKEE;30/03/2024;30 30 28;27 27 29
ANDRE PETROSKI;JACOB MALKOUN;30/03/2024;10 10 10;9 9 9
ANGEL PACHECO;CAOLAN LOUGHRAN;30/03/2024;27 27 26;30 30 30
ANDREI ARLOVSKI;JAKE COLLIER;30/04/2022;27 29 29;30 28 28
ROB FONT;MARLON VERA;30/04/2022;47 46 46;48 49 49
ANDRE FILI;JOANDERSON BRITO;30/04/2022;- -;- -
JARED GORDON;GRANT DAWSON;30/04/2022;18 18 18;20 20 20
GINA MAZANY;SHANNA YOUNG;30/04/2022;10 10 10;9 9 9
KRZYSZTOF JOTKO;GERALD MEERSCHAERT;30/04/2022;30 30 30;27 27 27
DARREN ELKINS;TRISTAN CONNELLY;30/04/2022;30 30 30;27 27 27
NATAN LEVY;MIKE BREEDEN;30/04/2022;29 29 30;28 28 27
GABE GREEN;YOHAN LAINESSE;30/04/2022;9 9 9;10 10 10
ALEXANDR ROMANOV;CHASE SHERMAN;30/04/2022;- - -;- - -
DANIEL LACERDA;FRANCISCO FIGUEIREDO;30/04/2022;- - -;- - -
ALEX MORONO;MATTHEW SEMELSBERGER;30/07/2022;29 30 29;28 27 28
MAGOMED ANKALAEV;ANTHONY SMITH;30/07/2022;10 10 10;9 9 9
JULIANNA PENA;AMANDA NUNES;30/07/2022;45 43 44;50 50 50
DREW DOBER;RAFAEL ALVES;30/07/2022;19 20 19;19 18 19
DON'TALE MAYES;HAMDY ABDELWAHAB;30/07/2022;28 29 28;29 28 29
BRANDON MORENO;KAI KARA-FRANCE;30/07/2022;19 18 20;19 20 18
NICOLAE NEGUMEREANU;IHOR POTIERIA;30/07/2022;10 10 10;9 9 9
JOSELYNE EDWARDS;JI YEON KIM;30/07/2022;30 29 28;27 28 29
DRAKKAR KLOSE;RAFA GARCIA;30/07/2022;29 29 29;28 28 28
MICHAEL MORALES;ADAM FUGITT;30/07/2022;20 19 19;18 19 19
ORION COSCE;BLOOD DIAMOND;30/07/2022;29 29 29;28 28 28
ALEXANDRE PANTOJA;ALEX PEREZ;30/07/2022;- - -;- - -
DERRICK LEWIS;SERGEI PAVLOVICH;30/07/2022;- - -;- - -
MAGOMED ANKALAEV;VOLKAN OEZDEMIR;30/10/2021;29 30 30;28 27 27
LI JINGLIANG;KHAMZAT CHIMAEV;30/10/2021;- - -;- - -
AMANDA RIBAS;VIRNA JANDIROBA;30/10/2021;29 29 29;28 28 28
RICARDO RAMOS;ZUBAIRA TUKHUGOV;30/10/2021;28 28 28;29 29 29
ISLAM MAKHACHEV;DAN HOOKER;30/10/2021;- - -;- - -
MAKWAN AMIRKHANI;LERONE MURPHY;30/10/2021;10 10 10;9 9 9
SHAMIL GAMZATOV;MICHAL OLEKSIEJCZUK;30/10/2021;- - -;- - -
ALEXANDER VOLKOV;MARCIN TYBURA;30/10/2021;30 30 29;27 27 28
ALBERT DURAEV;ROMAN KOPYLOV;30/10/2021;29 30 29;27 27 27
ELIZEU ZALESKI DOS SANTOS;BENOIT SAINT DENIS;30/10/2021;29 29 29;26 26 26
PETR YAN;CORY SANDHAGEN;30/10/2021;49 49 49;46 46 46
HU YAOZONG;ANDRE PETROSKI;30/10/2021;18 17 17;20 20 20
TAGIR ULANBEKOV;ALLAN NASCIMENTO;30/10/2021;28 29 29;29 28 28
JAN BLACHOWICZ;GLOVER TEIXEIRA;30/10/2021;9 9 9;10 10 10
URIAH HALL;SEAN STRICKLAND;31/07/2021;44 46 45;50 49 50
CHEYANNE VLISMAS;GLORIA DE PAULA;31/07/2021;- - -;- - -
RYAN BENOIT;ZARRUKH ADASHEV;31/07/2021;27 28 27;30 29 30
PHIL ROWE;ORION COSCE;31/07/2021;9 9 9;10 10 10
JINH YU FREY;ASHLEY YODER;31/07/2021;30 30 30;27 27 27
DANNY CHAVEZ;KAI KAMAKA;31/07/2021;27 28 28;29 28 28
NIKLAS STOLZE;JARED GOODEN;31/07/2021;- - -;- - -
COLLIN ANGLIN;MELSIK BAGHDASARYAN;31/07/2021;9 9 9;10 10 10
CHRIS GRUETZEMACHER;RAFA GARCIA;31/07/2021;29 29 29;28 28 28
BRYAN BARBERENA;JASON WITT;31/07/2021;27 28 28;29 29 28
MILES JOHNS;KEVIN NATIVIDAD;31/10/2020;20 20 20;18 18 18
DUSTIN JACOBY;JUSTIN LEDET;31/10/2020;- - -;- - -
SEAN STRICKLAND;JACK MARSHMAN;31/10/2020;30 30 30;27 27 27
URIAH HALL;ANDERSON SILVA;31/10/2020;28 29 29;29 28 28
COLE WILLIAMS;JASON WITT;31/10/2020;8 9 8;10 10 10
ADRIAN YANEZ;VICTOR RODRIGUEZ;31/10/2020;- - -;- - -
CHRIS GRUETZEMACHER;ALEXANDER HERNANDEZ;31/10/2020;- - -;- - -
BRYCE MITCHELL;ANDRE FILI;31/10/2020;29 30 30;28 27 27
MAURICE GREENE;GREG HARDY;31/10/2020;9 9 9;10 10 10
KING GREEN;THIAGO MOISES;31/10/2020;28 28 28;29 29 29
KEVIN HOLLAND;CHARLIE ONTIVEROS;31/10/2020;- - -;- - -
ALEX CACERES;CHASE HOOPER;06/06/2020;30 30 30;27 27 27
JUSSIER FORMIGA;ALEX PEREZ;06/06/2020;- - -;- - -
ALJAMAIN STERLING;CODY SANDHAGEN;06/06/2020;- - -;- - -
AMANDA NUNES;FELICIA SPENCER;06/06/2020;50 50 50;44 44 44
RAPHAEL ASSUNCAO;CODY GARBRANDT;06/06/2020;9 9 9;10 10 10
CODY STAMANN ;BRIAN KELLEHER;06/06/2020;30 30 30;27 27 27
ALONZO MENIFIELD;DEVIN CLARK;06/06/2020;28 27 28;29 30 29
EVAN DUNHAM;HERBERT BURNS;06/06/2020;- - -;- - -
IAN HEINISH;GERALD MEERSCHAERT;06/06/2020;- - -;- - -
CHARLES BYRD;MAKI PITOLO;06/06/2020;10 10 10;9 9 9
NEIL MAGNY;TONY MARTIN;06/06/2020;29 30 30;28 27 27
EDDIE WINELAND;SEAN O’MALLEY;06/06/2020;- - -;- - -
ALEX VOLKANOVSKI;MAX HOLLOWAY;07/11/2020;48 47 48;47 48 47
KAMARU USMAN;JORGE MASVIDAL;07/11/2020;50 50 49;45 45 46
MARCIN TYBURA;MAXIN GRISHIN;07/11/2020;30 30 30;27 26 27
PETR YAN;JOSE ALDO;07/11/2020;39 39 39;37 37 37
SEAN STRICKLAND;DRICUS DU PLESSIS;20/01/2024;47 47 48;48 48 47
RAQUEL PENNINGTON;MAYRA BUENO SILVA;20/01/2024;49 49 49;46 46 45
NEIL MAGNY;MIKE MALOTT;20/01/2024;18 18 18;20 20 20
CHRIS CURTIS;MARC-ANDRE BARRIAULT;20/01/2024;30 28 30;27 29 27
ARNOLD ALLEN;MOVSAR EVLOEV;20/01/2024;28 28 28;29 29 29
BRAD KATONA;GARRETT ARMFIELD;20/01/2024;28 28 28;29 29 29
CHARLES JOURDAIN;SEAN WOODSON;20/01/2024;28 28 29;29 29 28
SERHIY SIDEY;RAMON TAVERAS;20/01/2024;29 28 28;28 29 29
GILLIAN ROBERTSON;POLYANA VIANA;20/01/2024;10 10 10;9 9 9
YOHAN LAINESSE;SAM PATTERSON;20/01/2024;- - -;- - -
JASMINE JASUDAVICIUS;PRISCILA CACHOEIRA;20/01/2024;20 20 20;16 16 15
MALCOLM GORDON;JIMMY FLICK;20/01/2024;10 10 10;9 9 9
ISLAM MAKHACHEV;KING GREEN;26/02/2022;- - -;- - -
MISHA CIRKUNOV;WELLINGTON TURMAN;26/02/2022;10 10 10;9 9 9
JI YEON KIM;PRISCILA CACHOEIRA;26/02/2022;28 28 28;29 29 29
ARMAN TSARUKYAN;JOEL ALVAREZ;26/02/2022;10 10 10;9 9 9
ARMEN PETROSYAN;GREGORY RODRIGUES;26/02/2022;29 28 30;28 29 27
RONGZHU;IGNACIO BAHAMONDES;26/02/2022;18 18 18;20 20 20
JOSIANE NUNES;RAMONA PASCUAL;26/02/2022;30 30 30;27 26 27
TERRANCE MCKINNEY;FARES ZIAM;26/02/2022;- - -;- - -
ALEJANDRO PEREZ;JONATHAN MARTINEZ;26/02/2022;28 28 27;29 29 30
RAMIZ BRAHIMAJ;MICHEAL GILLMORE;26/02/2022;- - -;- - -
VICTOR ALTAMIRANO;CARLOS HERNANDEZ;26/02/2022;28 27 29;29 30 28
JOHNNY WALKER;JAMAHAL HILL;19/02/2022;- - -;- - -
KYLE DAUKAUS;JAMIE PICKETT;19/02/2022;- - -;- - -
PARKER PORTER;ALAN BAUDOT;19/02/2022;29 29 29;28 28 28
JIM MILLER;NIKOLAS MOTTA;19/02/2022;10 9 10;9 10 9
JOAQUIN BUCKLEY;ABDUL RAZAK ALHASSAN;19/02/2022;29 28 29;28 29 28
GABRIEL BENITEZ;DAVID ONAMA;19/02/2022;- - -;- - -
JESSICA-ROSE CLARK;STEPHANIE EGGER;19/02/2022;- - -;- - -
CHAS SKELLY;MARK STRIEGL;19/02/2022;10 9 9;9 10 10
DIANA BELBITA;GLORIA DE PAULA;19/02/2022;28 28 28;29 29 29
CHAD ANHELIGER;JESSE STRADER;19/02/2022;19 18 19;19 20 19
JONATHAN PEARCE;CHRISTIAN RODRIGUEZ;19/02/2022;29 29 30;28 28 27
MARIO BAUTISTA;JAY PERRIN;19/02/2022;30 30 30;27 27 26
JACK HERMANSSON;SEAN STRICKLAND;05/02/2022;46 48 46;49 47 49
PUNAHELE SORIANO;NICK MAXIMOV;05/02/2022;29 27 28;28 30 29
SHAVKAT RAKHMONOV;CARLSTON HARRIS;05/02/2022;- - -;- - -
SAM ALVEY;BRENDAN ALLEN;05/02/2022;9 9 9;10 10 10
TRESEAN GORE;BRYAN BATTLE;05/02/2022;28 28 28;29 29 29
JULIAN EROSA;STEVEN PETERSON;05/02/2022;28 29 29;29 28 28
MILES JOHNS;JOHN CASTANEDA;05/02/2022;18 18 18;20 20 20
HAKEEM DAWODU;MICHAEL TRIZANO;05/02/2022;30 30 30;27 27 27
CHIDI NJOKUANI;MARC-ANDRE BARRIAULT;05/02/2022;- - -;- - -
ALEXIS DAVIS;JULIJA STOLIARENKO;05/02/2022;29 29 30;27 27 27
JAILTON ALMEIDA;DANILO MARQUES;05/02/2022;- - -;- - -
JASON WITT;PHIL ROWE;05/02/2022;10 10 10;9 9 9
MALCOLM GORDON;DENYS BONDAR;05/02/2022;- - -;- - -
MAX HOLLOWAY;CALVIN KATTAR;16/01/2021;50 50 50;43 43 42
CARLOS CONDIT;MATT BROWN;16/01/2021;30 30 30;27 27 27
SANTIAGO PONZINIBBIO;LI JINGLIANG;16/01/2021;- - -;- - -
JOAQUIN BUCKLEY;ALESSIO DI CHIRICO;16/01/2021;- - -;- - -
PUNAHELE SORIANO;DUSKO TODOROVIC;16/01/2021;- - -;- - -
WU YANAN;JOSELYNE EDWARDS;16/01/2021;27 28 27;30 29 30
CARLOS FELIPE;JUSTIN TAFA;16/01/2021;29 28 29;28 29 28
DAVID ZAWADA;RAMAZAN EMEEV;16/01/2021;29 28 28;28 29 29
SARAH MORAS;VANESSA MELO;16/01/2021;27 28 28;30 29 29
JACOB KILBURN;AUSTIN LINGO;16/01/2021;27 26 26;30 30 30
PEDRO MUNHOZ;FRANKIE EDGAR;23/08/2020;47 47 49;48 48 46
MARCIN PRACHNIO;MIKE RODRIGUEZ;23/08/2020;- - -;- - -
AUSTIN HUBBARD;JOE SOLECKI;23/08/2020;- - -;- - -
MARIYA AGAPOVA;SHANA DOBSON;23/08/2020;10 10 10;9 9 9
DANIEL RODRIGUEZ;DWIGHT GRANT;23/08/2020;- - -;- - -
AMANDA LEMOS;MIZUKI;23/08/2020;30 30 30;27 27 27
IKE VILLANUEVA;JORDAN WRIGHT;23/08/2020;- - - ;- - -
CARLTON MINUS;MATTHEW SEMELSBERGER;23/08/2020;26 27 28;30 30 29
